ST,STATE,ST_ABBR,STCNTY,COUNTY,FIPS,LOCATION,AREA_SQMI,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV150,M_POV150,E_UNEMP,M_UNEMP,E_HBURD,M_HBURD,E_NOHSDP,M_NOHSDP,E_UNINSUR,M_UNINSUR,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_LIMENG,M_LIMENG,E_MINRTY,M_MINRTY,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV150,MP_POV150,EP_UNEMP,MP_UNEMP,EP_HBURD,MP_HBURD,EP_NOHSDP,MP_NOHSDP,EP_UNINSUR,MP_UNINSUR,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_LIMENG,MP_LIMENG,EP_MINRTY,MP_MINRTY,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV150,EPL_UNEMP,EPL_HBURD,EPL_NOHSDP,EPL_UNINSUR,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,EPL_LIMENG,SPL_THEME2,RPL_THEME2,EPL_MINRTY,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV150,F_UNEMP,F_HBURD,F_NOHSDP,F_UNINSUR,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_LIMENG,F_THEME2,F_MINRTY,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_DAYPOP,E_NOINT,M_NOINT,E_AFAM,M_AFAM,E_HISP,M_HISP,E_ASIAN,M_ASIAN,E_AIAN,M_AIAN,E_NHPI,M_NHPI,E_TWOMORE,M_TWOMORE,E_OTHERRACE,M_OTHERRACE,EP_NOINT,MP_NOINT,EP_AFAM,MP_AFAM,EP_HISP,MP_HISP,EP_ASIAN,MP_ASIAN,EP_AIAN,MP_AIAN,EP_NHPI,MP_NHPI,EP_TWOMORE,MP_TWOMORE,EP_OTHERRACE,MP_OTHERRACE
23,Maine,ME,23001,Androscoggin County,23001010100,Census Tract 101; Androscoggin County; Maine,0.314445715922,1538,244,1035,149,957,149,777,179,104,97,464,136,183,89,262,167,405,125,156,71,535,139,54,40,28,46,197,358,396,146,7,10,25,29,348,123,146,10,55.5,8.3,16.7,13.2,48.5,12.0,15.7,7.4,18.8,10.6,26.3,7.9,10.1,4.3,38.4,8.6,5.7,4.1,1.9,3.1,12.8,23.2,38.2,13.0,0.7,0.9,2.6,3.0,36.4,11.1,9.5,1.6,0.9925,0.9925,0.9875,0.9674,0.9799,4.9198,1.0,0.7469,0.0702,0.995,0.7343,0.9273,3.4737,0.9424,0.8546,0.8546,0.8546,0.985,0.198,0.8221,0.9925,0.9474,3.945,0.995,13.1931,1.0,1,1,1,1,1,5,0,0,1,0,1,2,0,0,1,0,0,1,1,3,10,3243,383,157,145,92,25,28,2,5,0,11,0,11,25,26,0,11,40.0,12.8,9.4,5.9,1.6,1.9,0.1,0.3,0.0,1.8,0.0,1.8,1.6,1.8,0.0,1.8
23,Maine,ME,23001,Androscoggin County,23001010200,Census Tract 102; Androscoggin County; Maine,16.972213414598,5149,694,2186,189,2113,207,667,280,73,53,521,185,229,142,276,127,1000,293,1155,441,969,268,61,61,22,68,186,969,454,161,44,43,42,68,226,112,243,15,13.7,5.4,2.6,2.0,24.7,8.4,6.9,4.3,5.4,2.5,19.4,6.0,22.4,6.3,19.0,4.8,2.9,2.9,0.4,1.3,3.6,18.8,20.8,7.1,2.0,2.0,2.0,3.2,10.7,5.2,4.7,0.7,0.3183,0.3308,0.5714,0.6015,0.3308,2.1528,0.3709,0.3985,0.8271,0.6742,0.3634,0.6717,2.9349,0.8045,0.1579,0.1579,0.1579,0.9449,0.2782,0.7368,0.7895,0.8571,3.6065,0.9499,8.8521,0.7268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,12222,148,78,19,27,5,15,32,43,0,15,0,15,130,125,0,15,7.0,3.7,0.4,0.5,0.1,0.3,0.6,0.8,0.0,0.5,0.0,0.5,2.5,2.4,0.0,0.5
23,Maine,ME,23001,Androscoggin County,23001010300,Census Tract 103; Androscoggin County; Maine,0.455576807778,2554,455,1209,211,1007,222,515,244,171,189,290,196,150,78,63,46,382,129,596,177,804,329,65,55,0,44,407,665,56,50,0,11,0,15,128,83,45,23,20.5,9.0,13.3,13.4,28.8,18.4,9.1,5.0,2.5,1.9,15.0,4.3,23.3,5.0,32.4,10.1,6.5,5.3,0.0,1.9,15.9,25.9,4.7,4.1,0.0,2.2,0.0,1.5,12.7,8.0,1.8,0.8,0.5514,0.9774,0.7293,0.802,0.1003,3.1604,0.7343,0.1378,0.8772,0.99,0.8221,0.0,2.8271,0.7393,0.9073,0.9073,0.9073,0.6767,0.0,0.0,0.8672,0.6692,2.2131,0.4211,9.1079,0.7644,0,1,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,3,2259,271,202,205,132,82,72,0,11,0,11,0,11,120,150,0,11,26.9,16.1,8.0,5.2,3.2,2.9,0.0,1.1,0.0,1.1,0.0,1.1,4.7,6.0,0.0,1.1
23,Maine,ME,23001,Androscoggin County,23001010400,Census Tract 104; Androscoggin County; Maine,0.90619297706,2245,243,1003,128,974,129,371,139,30,23,354,117,150,134,114,79,577,121,294,70,291,84,61,42,24,50,191,335,98,48,0,11,19,29,111,59,233,15,18.5,6.6,2.2,1.8,36.3,11.0,9.2,8.1,5.7,3.9,25.7,5.1,13.1,2.7,14.4,4.6,6.2,4.2,1.1,2.3,8.5,14.9,9.8,4.6,0.0,2.7,2.0,3.0,11.4,6.0,10.4,1.3,0.4912,0.2506,0.8847,0.807,0.3609,2.7944,0.599,0.7268,0.1604,0.406,0.782,0.8747,2.9499,0.8095,0.6316,0.6316,0.6316,0.8145,0.0,0.7368,0.8246,0.9524,3.3283,0.8747,9.7042,0.8446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2439,124,53,2,4,99,72,60,46,0,11,0,11,30,24,0,11,12.7,5.1,0.1,0.2,4.4,3.1,2.7,2.1,0.0,1.2,0.0,1.2,1.3,1.1,0.0,1.2
23,Maine,ME,23001,Androscoggin County,23001010500,Census Tract 105; Androscoggin County; Maine,0.281842104736,2295,379,1005,100,950,97,657,303,80,65,391,123,168,87,126,88,301,72,785,267,346,90,122,71,13,43,339,520,153,58,5,8,32,41,161,86,24,4,29.3,12.6,7.6,5.1,41.2,12.2,11.7,6.1,5.5,3.9,13.1,3.8,34.2,6.9,15.1,4.3,12.8,7.4,0.6,2.1,14.8,22.5,15.2,5.6,0.5,0.8,3.3,4.3,16.9,8.5,1.0,0.1,0.8521,0.8897,0.9524,0.9173,0.3434,3.9549,0.9348,0.0727,0.995,0.4411,0.9799,0.7644,3.2531,0.8997,0.8872,0.8872,0.8872,0.9023,0.1704,0.8897,0.9474,0.5815,3.4913,0.9248,11.5865,0.985,0,0,1,1,0,2,0,1,0,1,0,2,0,0,1,0,0,1,0,2,6,1073,114,53,86,90,170,108,0,11,0,11,0,11,83,62,0,11,12.0,5.8,3.7,3.9,7.4,4.5,0.0,1.2,0.0,1.2,0.0,1.2,3.6,2.6,0.0,1.2
23,Maine,ME,23001,Androscoggin County,23001010600,Census Tract 106; Androscoggin County; Maine,23.381166844838,3030,432,1352,160,1215,148,581,291,88,72,313,120,89,90,183,147,473,126,664,158,546,178,153,124,11,45,162,636,0,15,57,40,15,26,32,38,16,6,19.2,9.2,5.4,4.4,25.8,9.4,4.2,4.1,6.1,4.9,15.6,4.0,21.9,4.0,18.1,5.3,12.6,10.1,0.4,1.5,5.3,21.0,0.0,1.1,4.2,3.0,1.2,2.1,2.6,3.1,0.5,0.2,0.5188,0.7293,0.6165,0.3459,0.416,2.6265,0.5213,0.1604,0.7945,0.6391,0.9774,0.6717,3.2431,0.8947,0.3409,0.3409,0.3409,0.0,0.3734,0.5639,0.2657,0.4461,1.6491,0.2005,7.8596,0.5188,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,2713,87,52,0,11,12,15,0,11,0,11,0,11,150,93,0,11,7.2,4.4,0.0,0.9,0.4,0.5,0.0,0.9,0.0,0.9,0.0,0.9,5.0,3.3,0.0,0.9
23,Maine,ME,23001,Androscoggin County,23001010700,Census Tract 107; Androscoggin County; Maine,11.321895201772,3132,379,1504,180,1352,187,266,154,53,48,273,101,145,81,352,163,469,89,600,139,423,153,0,15,9,44,159,531,101,68,47,45,14,21,96,73,10,5,8.6,4.8,2.6,2.3,20.2,6.9,6.6,3.5,11.3,4.7,15.0,3.0,19.2,4.2,13.5,4.9,0.0,1.1,0.3,1.5,5.1,16.9,6.7,4.4,3.1,3.0,1.0,1.5,7.1,5.2,0.3,0.2,0.1303,0.3308,0.3459,0.5739,0.8446,2.2255,0.3985,0.1378,0.614,0.3409,0.0,0.6065,1.6992,0.183,0.3183,0.3183,0.3183,0.7343,0.3283,0.5213,0.6441,0.3409,2.5689,0.589,6.8119,0.3208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7483,154,79,46,80,0,11,29,34,0,11,0,11,84,99,0,11,11.4,5.8,1.5,2.6,0.0,0.9,0.9,1.1,0.0,0.9,0.0,0.9,2.7,3.1,0.0,0.9
23,Maine,ME,23001,Androscoggin County,23001010800,Census Tract 108; Androscoggin County; Maine,5.706119604376,4095,476,1828,131,1741,151,792,427,255,233,531,197,191,132,439,365,879,175,803,221,559,202,66,52,0,44,274,653,0,15,0,11,18,28,26,29,13,2,19.4,10.2,11.4,9.6,30.5,11.0,6.9,4.8,10.7,8.2,21.5,5.1,19.6,4.9,13.7,4.6,3.8,3.0,0.0,1.1,6.7,15.9,0.0,0.8,0.0,1.5,1.0,1.6,1.5,1.6,0.3,0.0,0.5263,0.9649,0.7794,0.6015,0.8296,3.7017,0.8947,0.5213,0.6366,0.3609,0.5238,0.0,2.0426,0.3208,0.4962,0.4962,0.4962,0.0,0.0,0.5213,0.1303,0.3409,0.9925,0.0351,7.233,0.3935,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2514,146,88,0,11,94,156,8,13,0,11,0,11,172,109,0,11,8.4,5.1,0.0,0.7,2.3,3.8,0.2,0.3,0.0,0.7,0.0,0.7,4.2,2.6,0.0,0.7
23,Maine,ME,23001,Androscoggin County,23001020100,Census Tract 201; Androscoggin County; Maine,0.254535040786,1573,255,1086,187,959,175,1015,253,89,59,398,122,222,74,109,65,303,83,321,109,439,119,79,68,105,80,451,342,733,156,0,11,16,20,461,104,20,5,66.0,11.5,15.4,9.8,41.5,10.2,18.4,6.1,7.0,4.2,19.3,5.3,20.4,5.3,28.0,7.5,8.2,6.9,7.3,5.5,28.7,21.2,67.5,8.4,0.0,2.5,1.7,2.1,48.1,10.7,1.3,0.2,0.9975,0.985,0.9574,0.9825,0.5163,4.4387,0.995,0.3885,0.6917,0.9549,0.8997,0.99,3.9248,0.9925,0.9774,0.9774,0.9774,0.9975,0.0,0.6842,0.9975,0.6316,3.3108,0.8697,12.6517,0.9975,1,1,1,1,0,4,0,0,1,0,1,2,1,1,1,0,0,1,0,2,9,4973,359,154,328,140,15,20,39,36,0,11,0,11,58,71,11,15,37.4,12.8,20.9,8.3,1.0,1.2,2.5,2.2,0.0,1.7,0.0,1.7,3.7,4.2,0.7,1.0
23,Maine,ME,23001,Androscoggin County,23001020200,Census Tract 202; Androscoggin County; Maine,0.387606639494,1456,285,811,142,811,142,442,281,14,16,296,109,133,75,92,59,159,67,334,204,348,120,32,34,10,43,170,392,133,74,8,13,10,19,110,66,0,11,30.4,18.4,1.6,1.7,36.5,11.8,13.2,7.7,6.3,4.1,10.9,4.9,22.9,10.5,23.9,8.6,3.9,4.1,0.7,3.1,11.7,26.8,16.4,8.7,1.0,1.6,1.2,2.3,13.6,8.5,0.0,0.8,0.8647,0.1579,0.8872,0.9599,0.4286,3.2983,0.782,0.0351,0.8596,0.8947,0.5363,0.7995,3.1252,0.8772,0.807,0.807,0.807,0.9148,0.2231,0.5639,0.8972,0.0,2.599,0.619,9.8295,0.8622,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,3718,166,83,75,68,0,11,0,11,0,11,0,11,94,98,1,3,20.5,10.0,5.2,4.7,0.0,1.9,0.0,1.9,0.0,1.9,0.0,1.9,6.5,6.4,0.1,0.2
23,Maine,ME,23001,Androscoggin County,23001020301,Census Tract 203.01; Androscoggin County; Maine,0.322849998156,2412,120,593,57,529,83,266,113,21,23,135,57,150,86,96,78,472,96,125,21,405,116,0,15,6,43,485,224,147,54,0,11,0,15,63,44,1428,44,26.7,10.9,1.9,2.1,25.5,10.0,16.2,9.0,4.6,3.8,19.6,3.9,5.2,0.9,19.5,5.3,0.0,2.8,0.3,1.8,20.1,9.2,24.8,8.8,0.0,4.5,0.0,2.8,11.9,7.9,59.2,3.5,0.782,0.218,0.6115,0.9699,0.2556,2.837,0.614,0.411,0.015,0.7068,0.0,0.6065,1.7393,0.2005,0.9348,0.9348,0.9348,0.9599,0.0,0.0,0.8346,0.9975,2.792,0.6942,8.3031,0.589,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,2,4,6620,108,46,45,37,121,74,196,120,0,11,0,11,123,95,0,11,20.4,8.4,1.9,1.6,5.0,3.1,8.1,5.0,0.0,1.1,0.0,1.1,5.1,4.0,0.0,1.1
