ST,STATE,ST_ABBR,STCNTY,COUNTY,FIPS,LOCATION,AREA_SQMI,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV150,M_POV150,E_UNEMP,M_UNEMP,E_HBURD,M_HBURD,E_NOHSDP,M_NOHSDP,E_UNINSUR,M_UNINSUR,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_LIMENG,M_LIMENG,E_MINRTY,M_MINRTY,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV150,MP_POV150,EP_UNEMP,MP_UNEMP,EP_HBURD,MP_HBURD,EP_NOHSDP,MP_NOHSDP,EP_UNINSUR,MP_UNINSUR,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_LIMENG,MP_LIMENG,EP_MINRTY,MP_MINRTY,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV150,EPL_UNEMP,EPL_HBURD,EPL_NOHSDP,EPL_UNINSUR,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,EPL_LIMENG,SPL_THEME2,RPL_THEME2,EPL_MINRTY,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV150,F_UNEMP,F_HBURD,F_NOHSDP,F_UNINSUR,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_LIMENG,F_THEME2,F_MINRTY,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_DAYPOP,E_NOINT,M_NOINT,E_AFAM,M_AFAM,E_HISP,M_HISP,E_ASIAN,M_ASIAN,E_AIAN,M_AIAN,E_NHPI,M_NHPI,E_TWOMORE,M_TWOMORE,E_OTHERRACE,M_OTHERRACE,EP_NOINT,MP_NOINT,EP_AFAM,MP_AFAM,EP_HISP,MP_HISP,EP_ASIAN,MP_ASIAN,EP_AIAN,MP_AIAN,EP_NHPI,MP_NHPI,EP_TWOMORE,MP_TWOMORE,EP_OTHERRACE,MP_OTHERRACE
50,Vermont,VT,50001,Addison County,50001960100,Census Tract 9601; Addison County; Vermont,81.254827674648,4075,307,1724,95,1540,90,594,221,81,45,240,63,120,37,211,78,699,80,864,140,555,145,20,19,0,40,202,435,0,14,256,64,39,32,15,11,5,2,14.6,5.3,3.2,1.8,15.6,4.0,4.2,1.4,5.2,1.9,17.2,2.4,21.2,2.6,13.6,3.0,1.3,1.2,0.0,1.0,5.0,10.7,0.0,0.8,14.8,3.6,2.5,2.1,1.0,0.7,0.1,0.0,0.4031,0.4764,0.0314,0.3351,0.7435,1.9895,0.3298,0.2618,0.7958,0.4398,0.0785,0.0,1.5759,0.1257,0.267,0.267,0.267,0.0,0.9058,0.7435,0.0942,0.3403,2.0838,0.3665,5.9162,0.1571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1644,82,29,0,10,68,37,3,7,0,10,0,10,131,70,0,10,5.3,2.0,0.0,0.5,1.7,0.9,0.1,0.2,0.0,0.5,0.0,0.5,3.2,1.7,0.0,0.5
50,Vermont,VT,50001,Addison County,50001960200,Census Tract 9602; Addison County; Vermont,47.483411993346,2654,20,1521,102,1099,87,204,64,64,39,243,73,107,70,64,40,554,91,371,85,433,162,9,10,1,38,49,50,0,14,82,51,58,66,12,11,9,2,7.7,2.4,3.9,2.4,22.1,6.4,5.3,3.4,2.4,1.5,20.9,3.4,14.0,3.2,16.3,6.1,0.8,0.9,0.0,1.5,1.8,1.9,0.0,0.9,5.4,3.4,5.3,6.0,1.1,1.0,0.3,0.1,0.1047,0.623,0.2984,0.4555,0.1832,1.6648,0.1937,0.445,0.1414,0.7016,0.0576,0.0,1.3456,0.0628,0.0262,0.0262,0.0262,0.0,0.4974,0.9424,0.0995,0.4136,1.9529,0.3037,4.9895,0.0838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1605,90,49,0,10,6,10,0,10,0,10,5,9,38,39,0,10,8.2,4.4,0.0,0.8,0.2,0.4,0.0,0.8,0.0,0.8,0.2,0.4,1.4,1.5,0.0,0.8
50,Vermont,VT,50001,Addison County,50001960300,Census Tract 9603; Addison County; Vermont,2.455585167778,2561,31,1153,95,1047,84,530,131,31,25,301,87,140,54,157,80,417,74,416,74,392,90,63,37,31,79,180,78,89,42,104,45,28,20,73,37,92,9,20.9,5.2,2.0,1.6,28.7,8.0,7.4,2.8,6.2,3.2,16.3,2.9,16.2,2.9,15.5,3.5,6.0,3.5,1.2,3.2,7.0,3.0,7.7,3.6,9.0,3.8,2.6,1.9,7.0,3.4,3.6,0.3,0.6806,0.2356,0.6335,0.733,0.8325,3.1152,0.733,0.2042,0.288,0.6335,0.712,0.911,2.7487,0.7225,0.5026,0.5026,0.5026,0.7539,0.7644,0.7592,0.6911,0.801,3.7696,0.9738,10.1361,0.8848,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,3364,152,51,48,50,75,67,0,10,2,4,0,10,40,29,15,25,14.5,4.6,1.9,1.9,2.9,2.6,0.0,0.9,0.1,0.1,0.0,0.9,1.6,1.1,0.6,1.0
50,Vermont,VT,50001,Addison County,50001960400,Census Tract 9604; Addison County; Vermont,124.435253341818,4897,291,2354,99,1984,112,451,123,117,41,359,64,121,37,231,63,1224,113,859,120,701,116,41,18,2,38,272,404,7,14,201,57,6,11,34,20,5,2,9.2,2.5,4.1,1.4,18.1,3.1,3.2,1.0,4.7,1.3,25.0,2.2,17.5,1.9,14.3,2.1,2.1,0.9,0.0,0.8,5.6,8.2,0.3,0.6,8.5,2.5,0.3,0.6,1.7,1.0,0.1,0.0,0.1675,0.6545,0.1152,0.2356,0.6545,1.8273,0.267,0.7749,0.377,0.4974,0.2094,0.0,1.8587,0.2304,0.3194,0.3194,0.3194,0.2723,0.7016,0.2984,0.1518,0.3403,1.7644,0.2461,5.7698,0.1466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2319,181,70,8,8,119,50,48,29,7,8,0,10,90,31,0,10,9.1,3.5,0.2,0.2,2.4,1.0,1.0,0.6,0.1,0.2,0.0,0.5,1.8,0.6,0.0,0.5
50,Vermont,VT,50001,Addison County,50001960500,Census Tract 9605; Addison County; Vermont,40.54769072416,3781,20,1770,169,1638,151,506,199,109,75,465,146,131,69,303,190,701,154,611,150,713,264,112,76,9,42,148,108,9,17,198,123,8,18,86,57,30,8,13.5,5.3,4.9,3.4,28.4,8.5,4.5,2.3,8.1,5.1,18.5,4.1,16.2,4.0,19.0,7.0,6.8,4.6,0.2,1.2,3.9,2.9,0.5,1.0,11.2,6.9,0.5,1.1,5.3,3.3,0.8,0.2,0.3613,0.8115,0.6178,0.3979,0.9372,3.1257,0.7435,0.3403,0.288,0.8586,0.7801,0.5707,2.8377,0.7749,0.1937,0.1937,0.1937,0.3246,0.8482,0.3613,0.5654,0.5707,2.6702,0.6492,8.8273,0.7592,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3518,156,74,5,6,82,78,2,4,0,10,0,10,59,63,0,10,9.5,4.2,0.1,0.2,2.2,2.1,0.1,0.1,0.0,0.6,0.0,0.6,1.6,1.7,0.0,0.6
50,Vermont,VT,50001,Addison County,50001960600,Census Tract 9606; Addison County; Vermont,204.840679782586,2859,219,1578,109,1224,113,361,93,97,55,219,44,156,40,74,31,636,76,561,106,379,83,47,21,0,40,112,306,0,14,86,49,33,21,11,7,43,9,12.8,3.2,6.0,3.2,17.9,3.2,7.5,1.9,2.6,1.1,22.2,2.7,19.6,2.9,13.3,2.6,3.8,1.7,0.0,1.5,3.9,10.7,0.0,0.9,5.4,3.0,2.7,1.7,0.9,0.6,1.5,0.3,0.3141,0.8534,0.0942,0.7539,0.2251,2.2407,0.3717,0.5654,0.6335,0.4084,0.466,0.0,2.0733,0.3037,0.1937,0.1937,0.1937,0.0,0.4974,0.7749,0.0785,0.6545,2.0053,0.3351,6.513,0.2304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1314,137,56,6,6,38,24,7,7,6,6,0,10,55,28,0,10,11.2,4.3,0.2,0.2,1.3,0.8,0.2,0.2,0.2,0.2,0.0,0.8,1.9,1.0,0.0,0.8
50,Vermont,VT,50001,Addison County,50001960700,Census Tract 9607; Addison County; Vermont,27.496816094512,4162,288,1994,152,1759,160,744,362,82,46,494,139,200,95,116,73,1056,212,791,179,1005,264,89,57,0,40,411,408,55,37,60,40,0,14,90,66,70,6,17.9,8.6,4.0,2.3,28.1,7.5,6.5,3.1,2.8,1.7,25.4,4.8,19.0,3.8,24.3,6.2,5.1,3.2,0.0,1.0,9.9,9.8,2.8,1.8,3.0,2.0,0.0,0.8,5.1,3.7,1.7,0.1,0.5707,0.6387,0.6021,0.5969,0.2723,2.6807,0.555,0.7853,0.555,0.9529,0.644,0.0,2.9372,0.8272,0.7435,0.7435,0.7435,0.5602,0.3455,0.0,0.5393,0.6754,2.1204,0.3927,8.4818,0.6806,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,3473,180,111,93,62,63,65,3,9,0,10,0,10,233,151,19,31,10.2,5.9,2.2,1.5,1.5,1.6,0.1,0.2,0.0,0.5,0.0,0.5,5.6,3.6,0.5,0.8
50,Vermont,VT,50001,Addison County,50001960800,Census Tract 9608; Addison County; Vermont,11.734488432196,4961,291,1293,140,1069,146,401,149,127,91,379,130,104,70,62,41,867,132,298,101,592,160,37,29,9,41,1344,448,329,108,0,10,0,14,161,95,2831,57,18.6,6.4,6.7,4.6,35.5,11.2,5.9,3.9,1.3,0.9,17.5,2.4,6.0,1.8,12.2,3.2,3.4,2.7,0.2,0.8,27.1,8.9,25.5,7.9,0.0,1.7,0.0,1.3,15.1,8.0,57.1,3.5,0.5916,0.8743,0.8482,0.5183,0.089,2.9214,0.6545,0.2723,0.0105,0.3246,0.4084,0.5707,1.5865,0.1309,0.9948,0.9948,0.9948,0.9476,0.0,0.0,0.9215,0.9948,2.8639,0.7225,8.3666,0.6335,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,3,4,12205,103,66,155,89,295,88,588,114,2,6,0,10,286,98,18,24,9.6,6.2,3.1,1.7,5.9,1.8,11.9,2.5,0.0,0.1,0.0,0.5,5.8,2.0,0.4,0.5
50,Vermont,VT,50001,Addison County,50001960900,Census Tract 9609; Addison County; Vermont,176.304709151376,5197,324,2686,126,2127,126,590,141,84,43,530,101,233,66,394,133,1219,136,919,124,708,119,66,31,48,64,361,453,3,14,221,54,20,10,100,64,0,14,11.5,2.7,2.8,1.4,24.9,4.5,6.0,1.6,7.6,2.4,23.5,2.7,17.7,1.9,13.6,2.2,3.1,1.4,1.0,1.3,6.9,8.7,0.1,0.5,8.2,2.0,1.0,0.5,4.7,2.9,0.0,0.3,0.2565,0.3822,0.445,0.534,0.9162,2.5339,0.4921,0.6597,0.4084,0.4398,0.3351,0.8953,2.7383,0.712,0.4712,0.4712,0.4712,0.2565,0.6859,0.4974,0.5131,0.0,1.9529,0.3037,7.6963,0.4921,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2361,346,90,13,17,134,70,41,22,17,14,24,34,129,59,3,4,16.3,4.0,0.3,0.3,2.6,1.3,0.8,0.4,0.3,0.3,0.5,0.6,2.5,1.1,0.1,0.1
50,Vermont,VT,50001,Addison County,50001961000,Census Tract 9610; Addison County; Vermont,49.77750729691,2287,246,1382,100,929,98,263,102,54,55,214,79,133,43,136,49,639,119,370,79,333,88,40,25,0,40,126,347,0,14,123,33,11,14,7,7,42,15,11.7,4.3,4.4,4.1,23.0,8.2,7.3,2.4,6.0,1.9,27.9,4.1,16.2,2.9,14.8,3.6,4.3,2.7,0.0,1.8,5.5,15.2,0.0,1.0,8.9,2.4,1.2,1.5,0.8,0.8,1.8,0.6,0.2723,0.7068,0.3298,0.7173,0.822,2.8482,0.623,0.8743,0.288,0.555,0.5131,0.0,2.2304,0.3822,0.3037,0.3037,0.3037,0.0,0.7435,0.5445,0.0681,0.7016,2.0577,0.3455,7.44,0.4346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1289,108,42,4,8,55,48,10,14,8,22,0,10,49,33,0,10,11.6,4.4,0.2,0.3,2.4,2.1,0.4,0.6,0.3,0.9,0.0,1.0,2.1,1.4,0.0,1.0
50,Vermont,VT,50003,Bennington County,50003970401,Census Tract 9704.01; Bennington County; Vermont,35.057367002502,2408,323,1767,155,1009,146,426,199,33,48,240,86,105,54,79,73,766,185,392,107,365,112,34,29,0,40,157,465,80,42,18,21,29,39,103,44,52,7,17.9,8.0,2.9,4.3,23.8,7.8,5.7,3.0,3.3,2.9,31.8,6.6,16.3,4.0,15.2,4.5,3.4,2.8,0.0,1.8,6.5,19.3,4.5,2.3,1.0,1.2,2.9,3.8,10.2,4.4,2.2,0.4,0.5707,0.4084,0.3717,0.5079,0.3874,2.2461,0.377,0.9738,0.3089,0.5812,0.4084,0.0,2.2723,0.4293,0.4241,0.4241,0.4241,0.6126,0.1728,0.822,0.8272,0.7277,3.1623,0.822,8.1048,0.5812,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,4182,195,85,35,31,99,85,0,10,0,10,0,10,23,46,0,10,19.3,7.7,1.5,1.3,4.1,3.5,0.0,0.9,0.0,0.9,0.0,0.9,1.0,2.0,0.0,0.9
